enrollee_id,city,city_development_index,gender,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours
9,city_16,0.91,Male,Bachelor,STEM,21,0,Other,5,2
32,city_103,0.92,Male,Bachelor,Business Degree,21,0,Other,2,180
79,city_100,0.887,Male,Bachelor,STEM,21,0,Other,4,42
236,city_103,0.92,Male,Bachelor,STEM,14,0,Other,1,122
430,city_160,0.92,prefer not to say,Masters,STEM,21,0,Other,3,46
516,city_103,0.92,Male,Bachelor,Other,21,0,Other,5,48
565,city_103,0.92,Male,Bachelor,Business Degree,19,0,Other,5,100
593,city_57,0.866,Male,Bachelor,STEM,17,0,Other,1,10
618,city_160,0.92,Male,Bachelor,Business Degree,21,0,Other,5,31
659,city_103,0.92,Male,Bachelor,STEM,21,0,Other,1,178
717,city_103,0.92,Male,Bachelor,STEM,21,0,Pvt Ltd,5,41
819,city_103,0.92,Male,Bachelor,STEM,21,0,Other,3,27
943,city_150,0.698,prefer not to say,Not provided,Other,21,0,Other,1,83
964,city_46,0.762,Male,Bachelor,STEM,19,0,Other,1,64
989,city_103,0.92,prefer not to say,Bachelor,STEM,14,0,Other,5,25
1066,city_16,0.91,Male,Masters,STEM,15,0,Other,5,23
1144,city_103,0.92,Male,Bachelor,STEM,11,0,Other,1,15
1196,city_103,0.92,Male,Bachelor,Business Degree,21,0,Other,1,77
1204,city_103,0.92,Male,Bachelor,STEM,21,0,Public Sector,1,140
1223,city_160,0.92,prefer not to say,Bachelor,STEM,21,0,Other,1,134
1242,city_160,0.92,Male,Bachelor,STEM,21,0,Other,0,14
1261,city_73,0.754,Male,Bachelor,STEM,12,0,Other,2,100
1330,city_103,0.92,Male,Bachelor,No Major,21,0,Other,2,51
1448,city_175,0.776,Female,Bachelor,STEM,17,0,Other,5,13
1693,city_75,0.939,Male,Bachelor,STEM,11,0,Other,2,18
1755,city_75,0.939,Male,Bachelor,STEM,21,0,Other,5,32
1785,city_21,0.624,Male,Bachelor,STEM,21,0,Other,5,20
1811,city_103,0.92,Male,Bachelor,STEM,17,0,Other,5,96
1878,city_103,0.92,prefer not to say,Bachelor,STEM,21,0,Other,5,142
1925,city_21,0.624,Male,Bachelor,STEM,18,0,Other,5,12
1957,city_160,0.92,prefer not to say,Bachelor,STEM,12,0,Other,1,65
1981,city_103,0.92,prefer not to say,Bachelor,STEM,18,0,Other,1,153
2015,city_103,0.92,Male,Bachelor,STEM,17,0,Other,1,48
2058,city_102,0.804,Male,Masters,STEM,16,0,Other,2,12
2307,city_105,0.794,Male,Masters,STEM,11,0,Other,1,18
2477,city_21,0.624,Male,Masters,Other,11,0,Other,5,77
2601,city_16,0.91,Male,Bachelor,STEM,21,0,Other,2,152
3044,city_136,0.897,Male,Masters,STEM,21,0,Other,5,10
3229,city_160,0.92,Male,Bachelor,STEM,12,0,Other,1,10
3263,city_103,0.92,Male,Masters,STEM,21,0,Other,1,22
3417,city_21,0.624,Male,Bachelor,STEM,19,0,Other,1,45
3525,city_103,0.92,Female,Bachelor,Other,21,0,Other,1,68
3604,city_16,0.91,Male,Bachelor,No Major,16,0,Other,5,95
3649,city_103,0.92,Male,Bachelor,Business Degree,21,0,Public Sector,5,43
3662,city_160,0.92,Male,Bachelor,STEM,21,0,Other,2,206
3715,city_16,0.91,Male,Bachelor,STEM,21,0,Other,4,232
3718,city_103,0.92,Male,Bachelor,STEM,21,0,Other,2,46
3736,city_160,0.92,Male,Bachelor,STEM,21,0,Other,3,48
3822,city_103,0.92,Male,Bachelor,STEM,21,0,Other,5,184
